GeneID,60mins,180mins,360mins,720mins,1440mins
AT5G61440,0.465,0.26,0.166,0.414,0.252
AT5G09000,0,0,0,0,0
AT5G09005,0,0,0,0,0
AT5G61445,0,0,0,0,0
AT5G61450,6.128,6.045,7.986,9.656,11.78
AT5G61455,0,0,0,0.02,0.267
AT5G61460,1.733,1.218,1.581,1.844,3.399
AT5G61470,0,0,0,0,0
AT5G61480,6.424,8.735,6.197,7.558,7.827
AT5G09010,0,0,0,0,0
AT5G61490,0.112,0.053,0.148,0.147,0.278
AT5G61495,0,0,0,0,0
AT5G61500,21.142,17.198,22.13,23.989,23.426
AT5G61510,32.419,25.315,21.159,23.573,29.535
AT5G61520,3.058,5.786,8.034,6.724,5.827
AT5G61530,10.151,18.867,33.008,31.202,19.829
AT5G61540,4.253,5.383,3.438,3.79,3.556
AT5G09015,0,0,0,0,0
AT5G61550,0.056,0.049,0.021,0.052,0.037
AT5G61560,1.752,2.726,2.213,3.321,2.083
AT5G61570,4.934,10.186,6.96,3.756,6.729
AT5G61580,10.587,9.284,10.067,10.412,10.44
AT5G61590,31.527,58.306,76.718,7.991,13.929
AT5G61600,27.042,2.499,16.203,1.774,2.006
AT5G61605,0,0,0,0,0
AT5G61610,0,0.068,0.107,0.047,0.018
AT5G61620,0,0,0,0.014,0
AT5G61630,0,0,0,0,0
AT5G61640,8.057,6.319,8.597,7.306,9.155
