GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT5G44270,0.093,0.19,0.07,0.085,0.074,0.045,0.09
AT5G44280,2.702,3.937,3.922,4.136,4.018,3.776,5.17
AT5G44283,0.342,0,0,0,0,0,0
AT5G06565,0,0,0,0,0,0,0
AT5G44286,0,0,0.268,0,0,0,0
AT5G44290,23.218,24.08,24.283,24.172,28.855,30.713,38.214
AT5G44300,0,0,0,0,0,0,0
AT5G44306,0.273,0.244,0.341,0.161,0.398,0.606,0.742
AT5G44310,4.782,3.968,4.212,3.894,7.881,8.672,9.207
AT5G44313,0,0.06,0.034,0.056,0.037,0.1,0.095
AT5G44316,0.018,0,0,0,0.016,0,0
AT5G44320,29.651,30.417,32.418,31.978,30.267,36.163,38.73
AT5G44330,0,0,0,0,0,0,0
AT5G44340,434.558,494.642,539.785,550.425,436.866,476.217,464.507
AT5G44345,0,0,0,0,0,0,0
AT5G44350,1.184,0.646,0.779,0.487,0.554,0.678,0.968
AT5G44360,0.026,0.032,0.073,0.012,0.05,0.038,0.064
AT5G44370,5.316,5.384,5.601,4.464,3.227,2.939,3.117
AT5G44375,0,0,0,0,0,0,0
AT5G44380,75.002,84.212,93.055,103.686,90.863,88.806,80.811
AT5G44390,0.326,0.304,0.238,0.302,0.226,0.289,0.311
AT5G44400,0.148,0.194,0.129,0.184,0.048,0.057,0.097
AT5G44410,14.444,12.183,10.531,9.162,9.331,10.253,9.965
AT5G44415,0,0,0,0,0,0,0
AT5G44416,0,0,0,0,0,0,0
AT5G44417,32.32,41.201,42.28,57.042,78.774,130.333,164.304
AT5G44418,0,0,0,0,0,0,0
AT5G44420,0,0,0,0,0,0,0
AT5G44430,0,0,0,0,0,0,0
AT5G44440,310.978,509.18,457.538,503.493,370.882,316.108,135.33
AT5G44450,17.589,21.707,21.875,21.279,22.166,20.414,15.224
AT5G44460,7.707,9.697,7.04,7.266,4.001,3.732,2.702
AT5G44470,0,0,0,0,0,0,0
AT5G44480,3.938,4.278,4.059,4.239,3.426,4.201,3.563
AT5G44490,2.7,1.891,1.792,1.164,0.734,0.559,0.217
AT5G44495,0,0,0,0,0,0,0
AT5G44500,2.022,2.504,2.25,1.941,1.94,1.902,2.086
AT5G44510,6.431,6.844,5.854,5.163,5.688,6.662,8.006
AT5G44520,21.254,21.072,18.849,16.078,13.355,11.363,11.902
AT5G44530,7.438,4.029,4.409,3.726,2.836,3.245,2.518
AT5G44540,0.198,0.11,0.13,0.157,0.134,0.13,0
AT5G44550,0.642,0.776,0.467,0.758,0.483,0.46,0.966
AT5G44555,0,0,0,0,0,0.063,0
AT5G44560,4.064,3.579,3.801,2.49,2.579,1.186,0.588
AT5G44562,0,0,0,0,0,0,0
AT5G44563,0,0,0,0.032,0,0,0.05
AT5G06575,0,0,0,0,0,0,0
AT5G44565,0.093,0.082,0.06,0.113,0.088,0.152,0.06
AT5G44567,0,0.036,0,0.03,0,0.041,0
AT5G06585,0.466,1.139,0.467,0.45,0.986,0.818,0.948
