Sample name	title	source name	organism	characteristics: Tissue	characteristics: Developmental Stage	characteristics: Ecotype	characteristics: Genotype	characteristics: Treatment	characteristics: Original series ID	characteristics: Replicate Group	molecule	label	platform
GSM269818	Reanalysis of GSM269818	C2 leaf-well watered-rep1	Arabidopsis thaliana	leaf	6.9			"mutant, abiotic"	GSE10670	GSE10670_7	total RNA	biotin	GPL198
GSM269819	Reanalysis of GSM269819	C2 leaf-drought-rep1	Arabidopsis thaliana	leaf	6.9			"mutant, abiotic"	GSE10670	GSE10670_8	total RNA	biotin	GPL198
GSM269820	Reanalysis of GSM269820	WT leaf-well watered-rep2	Arabidopsis thaliana	leaf	6.9		wild type	"mutant, abiotic"	GSE10670	GSE10670_1	total RNA	biotin	GPL198
GSM269821	Reanalysis of GSM269821	WT leaf-drought-rep2	Arabidopsis thaliana	leaf	6.9		wild type	"mutant, abiotic"	GSE10670	GSE10670_2	total RNA	biotin	GPL198
GSM269822	Reanalysis of GSM269822	T6 leaf-well watered-rep2	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_3	total RNA	biotin	GPL198
GSM269823	Reanalysis of GSM269823	T6 leaf-drought-rep2	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_4	total RNA	biotin	GPL198
GSM269824	Reanalysis of GSM269824	T8 leaf-well watered-rep2	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_5	total RNA	biotin	GPL198
GSM269825	Reanalysis of GSM269825	T8 leaf-drought-rep2	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_6	total RNA	biotin	GPL198
GSM269826	Reanalysis of GSM269826	C2 leaf-well watered-rep2	Arabidopsis thaliana	leaf	6.9			"mutant, abiotic"	GSE10670	GSE10670_7	total RNA	biotin	GPL198
GSM269827	Reanalysis of GSM269827	C2 leaf-drought-rep2	Arabidopsis thaliana	leaf	6.9			"mutant, abiotic"	GSE10670	GSE10670_8	total RNA	biotin	GPL198
GSM269828	Reanalysis of GSM269828	WT leaf-well watered-rep3	Arabidopsis thaliana	leaf	6.9		wild type	"mutant, abiotic"	GSE10670	GSE10670_1	total RNA	biotin	GPL198
GSM269829	Reanalysis of GSM269829	WT leaf-drought-rep3	Arabidopsis thaliana	leaf	6.9		wild type	"mutant, abiotic"	GSE10670	GSE10670_2	total RNA	biotin	GPL198
GSM269830	Reanalysis of GSM269830	T6 leaf-well watered-rep3	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_3	total RNA	biotin	GPL198
GSM269831	Reanalysis of GSM269831	T6 leaf-drought-rep3	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_4	total RNA	biotin	GPL198
GSM269832	Reanalysis of GSM269832	T8 leaf-well watered-rep3	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_5	total RNA	biotin	GPL198
GSM269833	Reanalysis of GSM269833	T8 leaf-drought-rep3	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_6	total RNA	biotin	GPL198
GSM270814	Reanalysis of GSM270814	"Arabidopsis cell culture, 4 h_control_rep1"	Arabidopsis thaliana	suspension cell	-	Col-0		chemical	GSE10749	GSE10749_1	total RNA	biotin	GPL198
GSM270853	Reanalysis of GSM270853	"Arabidopsis cell culture, 4 h_control_rep2"	Arabidopsis thaliana	suspension cell	-	Col-0		chemical	GSE10749	GSE10749_1	total RNA	biotin	GPL198
GSM270865	Reanalysis of GSM270865	"Arabidopsis cell culture, 4 h_control_rep3"	Arabidopsis thaliana	suspension cell	-	Col-0		chemical	GSE10749	GSE10749_1	total RNA	biotin	GPL198
GSM270866	Reanalysis of GSM270866	"Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep1"	Arabidopsis thaliana	suspension cell	-	Col-0		chemical	GSE10749	GSE10749_4	total RNA	biotin	GPL198
GSM270868	Reanalysis of GSM270868	"Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep2"	Arabidopsis thaliana	suspension cell	-	Col-0		chemical	GSE10749	GSE10749_4	total RNA	biotin	GPL198
GSM270870	Reanalysis of GSM270870	"Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep3"	Arabidopsis thaliana	suspension cell	-	Col-0		chemical	GSE10749	GSE10749_4	total RNA	biotin	GPL198
GSM284386	Reanalysis of GSM284386	Arabidopsis GSUS3	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_3	total RNA	biotin	GPL198
GSM284387	Reanalysis of GSM284387	Arabidopsis GSUS4b	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_3	total RNA	biotin	GPL198
GSM284389	Reanalysis of GSM284389	Arabidopsis GMPE2	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_5	total RNA	biotin	GPL198
